Country,Year,Greenhouse Gas (GHGs) Emissions,,,
Cyprus,2020,8878.438693,,,
Cyprus,2019,8906.856019,,,
Cyprus,2018,8864.530207,,,
Cyprus,2017,9004.042145,,,
Cyprus,2016,8805.145611,,,
Cyprus,2015,8349.772781,,,
Cyprus,2014,8297.827102,,,
Cyprus,2013,7925.36252,,,
Cyprus,2012,8636.380226,,,
Cyprus,2011,9164.177649,,,
Cyprus,2010,9479.013319,,,
Cyprus,2009,9804.317807,,,
Cyprus,2008,10043.05041,,,
Cyprus,2007,9822.070955,,,
Cyprus,2006,9489.826893,,,
Cyprus,2005,9228.913109,,,
Czechia,2020,113338.547,,,
Czechia,2019,123551.5946,,,
Czechia,2018,129427.3086,,,
Czechia,2017,131272.2538,,,
Czechia,2016,130254.4957,,,
Czechia,2015,128955.7006,,,
Czechia,2014,127553.949,,,
Czechia,2013,129735.128,,,
Czechia,2012,135097.5958,,,
Czechia,2011,139080.5203,,,
Czechia,2010,140533.1111,,,
Czechia,2009,137720.5279,,,
Czechia,2008,147184.4405,,,
Czechia,2007,152231.6465,,,
Czechia,2006,150525.7229,,,
Czechia,2005,149207.271,,,
Denmark,2020,43694.72257,,,
Denmark,2019,46412.37329,,,
Denmark,2018,50244.85605,,,
Denmark,2017,50333.44679,,,
Denmark,2016,52459.2906,,,
Denmark,2015,50438.30112,,,
Denmark,2014,53066.85422,,,
Denmark,2013,57276.50448,,,
Denmark,2012,55575.63689,,,
Denmark,2011,60206.85345,,,
Denmark,2010,65500.55136,,,
Denmark,2009,65209.21621,,,
Denmark,2008,68063.62065,,,
Denmark,2007,71684.93003,,,
Denmark,2006,76337.28556,,,
Denmark,2005,68627.77183,,,
European Union,2020,3700323.16,,,
European Union,2019,4045813.462,,,
European Union,2018,4220065.639,,,
European Union,2017,4314499.123,,,
European Union,2016,4300411.041,,,
European Union,2015,4320913.115,,,
European Union,2014,4290539.407,,,
European Union,2013,4469113.797,,,
European Union,2012,4568543.332,,,
European Union,2011,4627215.142,,,
European Union,2010,4781275.248,,,
European Union,2009,4679298.022,,,
European Union,2008,5052531.351,,,
European Union,2007,5168758.347,,,
European Union,2006,5213024.796,,,
European Union,2005,5224206.906,,,
Finland,2020,47782.25088,,,
Finland,2019,52788.02163,,,
Finland,2018,56178.73717,,,
Finland,2017,55109.44774,,,
Finland,2016,57923.44144,,,
Finland,2015,55025.8105,,,
Finland,2014,58602.56507,,,
Finland,2013,62784.04628,,,
Finland,2012,62352.12118,,,
Finland,2011,67903.28673,,,
Finland,2010,75672.35076,,,
Finland,2009,67865.7963,,,
Finland,2008,71545.91939,,,
Finland,2007,79654.3265,,,
Finland,2006,81295.82653,,,
Finland,2005,69937.59916,,,
Japan,2020,1150085.521,,,
Japan,2019,1212221.479,,,
Japan,2018,1247651.999,,,
Japan,2017,1291580.051,,,
Japan,2016,1304886.609,,,
Japan,2015,1321624.018,,,
Japan,2014,1360181.891,,,
Japan,2013,1409116.447,,,
Japan,2012,1397250.728,,,
Japan,2011,1354551.025,,,
Japan,2010,1303870.765,,,
Japan,2009,1250422.278,,,
Japan,2008,1322740.887,,,
Japan,2007,1395797.161,,,
Japan,2006,1360652.464,,,
Japan,2005,1382002.886,,,
Latvia,2020,10459.72479,,,
Latvia,2019,11116.30023,,,
Latvia,2018,11246.84326,,,
Latvia,2017,10752.40357,,,
Latvia,2016,10711.07691,,,
Latvia,2015,10720.39487,,,
Latvia,2014,10668.38459,,,
Latvia,2013,10757.75149,,,
Latvia,2012,10843.0957,,,
Latvia,2011,11021.59843,,,
Latvia,2010,11818.2006,,,
Latvia,2009,10732.18188,,,
Latvia,2008,11421.2749,,,
Latvia,2007,11872.87757,,,
Latvia,2006,11426.11869,,,
Latvia,2005,10949.2198,,,
Netherlands,2020,164334.5003,,,
Netherlands,2019,180268.7811,,,
Netherlands,2018,186037.307,,,
Netherlands,2017,191021.2835,,,
Netherlands,2016,193509.1169,,,
Netherlands,2015,193100.6511,,,
Netherlands,2014,185978.289,,,
Netherlands,2013,193791.7964,,,
Netherlands,2012,193462.434,,,
Netherlands,2011,197700.7529,,,
Netherlands,2010,212041.4363,,,
Netherlands,2009,200046.0911,,,
Netherlands,2008,205636.4956,,,
Netherlands,2007,206221.4937,,,
Netherlands,2006,207824.1764,,,
Netherlands,2005,212885.823,,,
Portugal,2020,57585.72239,,,
Portugal,2019,63624.02939,,,
Portugal,2018,67227.3202,,,
Portugal,2017,70950.34291,,,
Portugal,2016,65851.6549,,,
Portugal,2015,67701.63313,,,
Portugal,2014,63537.87214,,,
Portugal,2013,63616.15437,,,
Portugal,2012,65502.13798,,,
Portugal,2011,67421.93294,,,
Portugal,2010,68926.15898,,,
Portugal,2009,73142.10466,,,
Portugal,2008,76267.10261,,,
Portugal,2007,78683.89173,,,
Portugal,2006,80947.59648,,,
Portugal,2005,85774.88539,,,
Slovakia,2020,37048.58137,,,
Slovakia,2019,39821.65026,,,
Slovakia,2018,42134.88548,,,
Slovakia,2017,42262.76566,,,
Slovakia,2016,41179.36823,,,
Slovakia,2015,40714.319,,,
Slovakia,2014,40009.35937,,,
Slovakia,2013,41961.678,,,
Slovakia,2012,42284.17426,,,
Slovakia,2011,44700.25129,,,
Slovakia,2010,45673.21706,,,
Slovakia,2009,44872.78063,,,
Slovakia,2008,49163.7197,,,
Slovakia,2007,48631.26571,,,
Slovakia,2006,50376.30518,,,
Slovakia,2005,50562.03357,,,
Switzerland,2020,43411.59551,,,
Switzerland,2019,46097.23889,,,
Switzerland,2018,46376.72338,,,
Switzerland,2017,47879.96752,,,
Switzerland,2016,48757.86986,,,
Switzerland,2015,48480.42346,,,
Switzerland,2014,48974.07615,,,
Switzerland,2013,52918.29801,,,
Switzerland,2012,52040.03138,,,
Switzerland,2011,50696.55254,,,
Switzerland,2010,54817.04669,,,
Switzerland,2009,53181.42468,,,
Switzerland,2008,54642.67834,,,
Switzerland,2007,53230.91888,,,
Switzerland,2006,55147.7451,,,
Switzerland,2005,55458.95274,,,
